DATE,BAMLH0A3HYCEY
2020-12-01,9.42
2020-12-02,9.30
2020-12-03,9.13
2020-12-04,9.01
2020-12-07,8.98
2020-12-08,8.97
2020-12-09,8.92
2020-12-10,8.95
2020-12-11,8.98
2020-12-14,8.84
2020-12-15,8.80
2020-12-16,8.78
2020-12-17,8.73
2020-12-18,8.75
2020-12-21,8.95
2020-12-22,8.84
2020-12-23,8.80
2020-12-24,8.77
2020-12-25,.
2020-12-28,8.47
2020-12-29,8.47
2020-12-30,8.42
2020-12-31,8.36
2021-01-01,.
2021-01-04,8.42
2021-01-05,8.45
2021-01-06,8.31
2021-01-07,8.34
2021-01-08,8.19
2021-01-11,8.29
2021-01-12,8.26
2021-01-13,8.17
2021-01-14,8.04
2021-01-15,7.97
2021-01-18,7.96
2021-01-19,7.88
2021-01-20,7.81
2021-01-21,7.71
2021-01-22,7.83
2021-01-25,7.81
2021-01-26,7.79
2021-01-27,7.90
2021-01-28,7.82
2021-01-29,7.89
2021-01-31,7.78
2021-02-01,7.72
2021-02-02,7.62
2021-02-03,7.52
2021-02-04,7.50
2021-02-05,7.33
2021-02-08,7.27
