DATE,BAMLC0A1CAAAEY
2020-12-02,1.61
2020-12-03,1.57
2020-12-04,1.62
2020-12-07,1.59
2020-12-08,1.58
2020-12-09,1.63
2020-12-10,1.60
2020-12-11,1.59
2020-12-14,1.59
2020-12-15,1.61
2020-12-16,1.60
2020-12-17,1.60
2020-12-18,1.61
2020-12-21,1.61
2020-12-22,1.58
2020-12-23,1.61
2020-12-24,1.59
2020-12-25,.
2020-12-28,1.58
2020-12-29,1.57
2020-12-30,1.56
2020-12-31,1.55
2021-01-01,.
2021-01-04,1.56
2021-01-05,1.61
2021-01-06,1.69
2021-01-07,1.70
2021-01-08,1.72
2021-01-11,1.72
2021-01-12,1.74
2021-01-13,1.68
2021-01-14,1.69
2021-01-15,1.68
2021-01-18,1.68
2021-01-19,1.66
2021-01-20,1.67
2021-01-21,1.70
2021-01-22,1.70
2021-01-25,1.66
2021-01-26,1.66
2021-01-27,1.65
2021-01-28,1.68
2021-01-29,1.69
2021-01-31,1.68
2021-02-01,1.68
2021-02-02,1.70
2021-02-03,1.71
2021-02-04,1.71
2021-02-05,1.73
2021-02-08,1.70
